sl,Teams,Stadium,City,State,Date,Week Day,Time
37,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),R.G.I. Cricket Stadium,Hyderabad,Telangana.,01 May 2020,Friday,02:30 AM
38,Mumbai Indians (MI) Vs Delhi Capitals (DC),Wankhede Stadium,Mumbai,Maharashtra.,02 May 2020,Saturday,02:30 AM
39,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),Eden Gardens Stadium,Kolkata,WB,03 May 2020,Sunday,02:30 AM
40,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,03 May 2020,Sunday,10:30 PM
41,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),Feroz Shah Kotla Stadium,Delhi,Delhi,04 May 2020,Monday,02:30 AM
42,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),Sawai Mansingh Stadium,Jaipur,Rajasthan,05 May 2020,Tuesday,02:30 AM
43,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),R.G.I. Cricket Stadium,Hyderabad,Telangana.,06 May 2020,Wednesday,02:30 AM
44,Delhi Capitals (DC) Vs Mumbai Indians (MI),Feroz Shah Kotla Stadium,Delhi,Delhi,07 May 2020,Thursday,02:30 AM
45,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),M.A.Chidambaram Stadium,Chennai,Tamilnadu,08 May 2020,Friday,02:30 AM
46,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),PCA Stadium,Mohali,Punjab,09 May 2020,Saturday,02:30 AM
47,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),Wankhede Stadium,Mumbai,Maharashtra.,10 May 2020,Sunday,02:30 AM
48,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),M.A.Chidambaram Stadium,Chennai,Tamilnadu,10 May 2020,Sunday,10:30 PM
49,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),Eden Gardens Stadium,Kolkata,WB,11 May 2020,Monday,02:30 AM
50,Rajasthan Royals (RR) Vs Mumbai Indians (MI),Sawai Mansingh Stadium,Jaipur,Rajasthan,12 May 2020,Tuesday,02:30 AM
51,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),R.G.I. Cricket Stadium,Hyderabad,Telangana.,13 May 2020,Wednesday,02:30 AM
52,Delhi Capitals (DC) Vs Rajasthan Royals (RR),Feroz Shah Kotla Stadium,Delhi,Delhi,14 May 2020,Thursday,02:30 AM
53,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,15 May 2020,Friday,02:30 AM
54,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),Eden Gardens Stadium,Kolkata,WB,16 May 2020,Saturday,02:30 AM
55,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),PCA Stadium,Mohali,Punjab,17 May 2020,Sunday,02:30 AM
56,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,18 May 2020,Monday,02:30 AM
57,Qualifier-1,Eden Gardens,Kolkata,West Bengal.,TBD,TBD,8:00 PM
58,Eliminator,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,TBD,TBD,8:00 PM
59,Qualifier-2,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,TBD,TBD,8:00 PM
60,FINAL,Wankhede Stadium,Mumbai,Maharashtra,25 May 2020,Monday,02:30 AM
